Source Name,RA,Dec,Significance,Energy Flux,L_BL Lac,L_FSRQ
4FGL J1925.0+2815,291.2683,28.2643,17.8400,$(6.8\pm0.61)	imes10^{-12}$,0.9989,0.0011
4FGL J1958.1+2438,299.5284,24.6417,11.2400,$(6.6\pm0.94)	imes10^{-12}$,0.9986,0.0014
4FGL J0121.7+5153,20.4389,51.8947,5.9000,$(1.5\pm0.37)	imes10^{-12}$,0.9983,0.0017
4FGL J0538.6+0443,84.6630,4.7262,4.5100,$(1.6\pm0.45)	imes10^{-12}$,0.9982,0.0018
4FGL J1401.1-3717,210.2971,-37.2975,10.6200,$(3.1\pm0.47)	imes10^{-12}$,0.9980,0.0020
4FGL J1846.7+7238,281.6849,72.6371,8.0400,$(1.4\pm0.25)	imes10^{-12}$,0.9978,0.0022
4FGL J2142.1+4501,325.5291,45.0182,6.1000,$(1.8\pm0.39)	imes10^{-12}$,0.9976,0.0024
4FGL J0215.3+7555,33.8285,75.9190,7.2600,$(1.5\pm0.34)	imes10^{-12}$,0.9975,0.0025
4FGL J1535.3-3135,233.8391,-31.5907,6.5900,$(1.7\pm0.39)	imes10^{-12}$,0.9973,0.0027
4FGL J0606.5-4730,91.6416,-47.5038,13.5700,$(3.3\pm0.38)	imes10^{-12}$,0.9972,0.0028
4FGL J1943.6-0533,295.9249,-5.5665,4.8600,$(2.2\pm0.53)	imes10^{-12}$,0.9971,0.0029
4FGL J0507.4-3346,76.8591,-33.7813,13.8800,$(3.0\pm0.38)	imes10^{-12}$,0.9971,0.0029
4FGL J0954.2-2520,148.5681,-25.3384,8.4700,$(2.1\pm0.36)	imes10^{-12}$,0.9971,0.0029
4FGL J1234.0-5735,188.5194,-57.5961,29.7200,$(13.5\pm0.99)	imes10^{-12}$,0.9970,0.0030
4FGL J0213.8-6949,33.4704,-69.8311,8.9600,$(1.4\pm0.27)	imes10^{-12}$,0.9970,0.0030
4FGL J1412.0+3836,213.0130,38.6102,8.3000,$(1.4\pm0.27)	imes10^{-12}$,0.9970,0.0030
4FGL J0830.1-0946,127.5427,-9.7728,7.5300,$(1.8\pm0.36)	imes10^{-12}$,0.9970,0.0030
4FGL J1537.9-1344,234.4867,-13.7335,5.7600,$(1.6\pm0.40)	imes10^{-12}$,0.9969,0.0031
4FGL J2142.4+3659,325.6020,36.9856,9.8300,$(2.8\pm0.43)	imes10^{-12}$,0.9969,0.0031
4FGL J1240.4-7148,190.1160,-71.8156,21.1500,$(7.7\pm0.61)	imes10^{-12}$,0.9969,0.0031
4FGL J1602.9-1928,240.7275,-19.4701,10.1100,$(4.3\pm0.57)	imes10^{-12}$,0.9968,0.0032
4FGL J1033.5-5035,158.3810,-50.5860,24.1700,$(7.7\pm0.69)	imes10^{-12}$,0.9968,0.0032
4FGL J0709.3+0540,107.3392,5.6788,9.7600,$(4.2\pm0.55)	imes10^{-12}$,0.9966,0.0034
4FGL J1429.8-3058,217.4507,-30.9712,4.7600,$(1.4\pm0.38)	imes10^{-12}$,0.9966,0.0034
4FGL J2118.2-5419,319.5721,-54.3291,6.4700,$(1.4\pm0.32)	imes10^{-12}$,0.9965,0.0035
4FGL J0248.0+2232,42.0063,22.5450,6.0800,$(2.0\pm0.43)	imes10^{-12}$,0.9965,0.0035
4FGL J1547.3-1531,236.8303,-15.5286,6.1600,$(1.9\pm0.42)	imes10^{-12}$,0.9964,0.0036
4FGL J2226.6+0210,336.6650,2.1680,7.0800,$(1.6\pm0.37)	imes10^{-12}$,0.9964,0.0036
4FGL J1003.6-2137,150.9111,-21.6310,5.5900,$(1.0\pm0.29)	imes10^{-12}$,0.9963,0.0037
4FGL J1714.0-2029,258.5225,-20.4855,9.9800,$(3.6\pm0.60)	imes10^{-12}$,0.9962,0.0038
4FGL J2325.2-2010,351.3075,-20.1746,8.5700,$(1.7\pm0.31)	imes10^{-12}$,0.9961,0.0039
4FGL J2319.6-0456,349.9028,-4.9452,5.6500,$(1.5\pm0.35)	imes10^{-12}$,0.9961,0.0039
4FGL J0752.3-1631,118.0914,-16.5318,19.0300,$(5.4\pm0.65)	imes10^{-12}$,0.9961,0.0039
4FGL J1735.4-1118,263.8664,-11.3141,8.3400,$(4.4\pm0.78)	imes10^{-12}$,0.9959,0.0041
4FGL J1514.4-7719,228.6064,-77.3325,6.3900,$(1.0\pm0.29)	imes10^{-12}$,0.9959,0.0041
4FGL J0611.1+4325,92.7984,43.4261,16.2000,$(4.3\pm0.55)	imes10^{-12}$,0.9959,0.0041
4FGL J0503.6+4518,75.9202,45.3113,13.4500,$(6.6\pm0.75)	imes10^{-12}$,0.9958,0.0042
4FGL J2023.2+3153,305.8230,31.8876,10.8200,$(6.5\pm1.09)	imes10^{-12}$,0.9957,0.0043
